filename,store_name,store_address,store_code,taxpayer_name,tax_id,receipt_number,cashier_name,date,time,item_name,quantity,unit_price,line_total,subtotal,vat_18_percent,total_tax,cashless_payment,cash_payment,bonus_payment,advance_payment,credit_payment,queue_number,cash_register_model,cash_register_serial,fiscal_id,fiscal_registration,refund_amount,refund_date,refund_time
Hw2cRrhNM47u.jpeg,AZƏRBAYCAN,,1403051411-17002,AZƏRBAYCAN,1403051411,1011556,PASAYEV Е.,03.09.2025,21:04:04,FACE TENDİR ORTA. (ədədi,1.0,79.0,0.79,12.33,,1.76,12.33,0.00,0.00,0.00,0.00,207,VVincor Nixdorf ВЕЕТИЕ/М-И1|,530318060,Huv2cRrhNM47u,0000001857,0.31,04.10.2025,01:12
Hw2cRrhNM47u.jpeg,AZƏRBAYCAN,,1403051411-17002,AZƏRBAYCAN,1403051411,1011556,PASAYEV Е.,03.09.2025,21:04:04,ƏDV-dən azad ROLNER ACI T. 600. (ədəd),2.0,155.0,3.1,12.33,,1.76,12.33,0.00,0.00,0.00,0.00,207,VVincor Nixdorf ВЕЕТИЕ/М-И1|,530318060,Huv2cRrhNM47u,0000001857,0.31,04.10.2025,01:12
Hw2cRrhNM47u.jpeg,AZƏRBAYCAN,,1403051411-17002,AZƏRBAYCAN,1403051411,1011556,PASAYEV Е.,03.09.2025,21:04:04,OLUNA ZEYTUN Y 0.5L. (ədəd),1.0,8.39,8.39,12.33,,1.76,12.33,0.00,0.00,0.00,0.00,207,VVincor Nixdorf ВЕЕТИЕ/М-И1|,530318060,Huv2cRrhNM47u,0000001857,0.31,04.10.2025,01:12
Hw2cRrhNM47u.jpeg,AZƏRBAYCAN,,1403051411-17002,AZƏRBAYCAN,1403051411,1011556,PASAYEV Е.,03.09.2025,21:04:04,MÜSTERİ PAKETİ 31:55 (ədəd),1.0,0.05,0.05,12.33,,1.76,12.33,0.00,0.00,0.00,0.00,207,VVincor Nixdorf ВЕЕТИЕ/М-И1|,530318060,Huv2cRrhNM47u,0000001857,0.31,04.10.2025,01:12
9cpLeD9hDN2P.jpeg,ARAZ,,1001994141-17013,ARAZ,1001994141,734505,Emin Mirzəyev,19.09.2025,07:04:35,ULKER ALBENİ ATİSTIR,1.0,4.0,400.0,5.59,,0.85,0.00,0.00,0.00,0.00,0.00,26,,AFB0000000959,9cpLeD9hDN2P,0000063545,0.15,20.10.2025,07:05
9cpLeD9hDN2P.jpeg,ARAZ,,1001994141-17013,ARAZ,1001994141,734505,Emin Mirzəyev,19.09.2025,07:04:35,BLOOM UZUN CORAB 15 (ədəd),1.0,159.0,1359.0,5.59,,0.85,0.00,0.00,0.00,0.00,0.00,26,,AFB0000000959,9cpLeD9hDN2P,0000063545,0.15,20.10.2025,07:05
6gKvUTrsD5jM.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7ZFBGcW4K2j.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6Fxa4TW1edzr.jpeg,ARAZ,,1001994141-17013,ARAZ,1001994141,,Qadir Ebiyev,05.09.2025,06:21:38,NESTLE AFTER EIGHT2,1.0,11.0,11.0,11.00,,1.68,0.00,0.00,0.00,0.01,0.00,80,Az Smart Fiscal Box,AFB0000000958,6Fxa4TVV1edzr,0000063543,0.29,05.10.2025,06:22
5HFiTQXmUA8X.jpeg,ARAZ,,1001994141-17013,ARAZ,1001994141,1117580,Elvin Muradov,01.09.2025,06:18:38,MİLLENNİUM FAVORİTE,1.0,5.0,5.0,5.00,,0.76,5.00,0.00,0.00,0.01,0.00,45,Az Smart Fiscal Box,AFB0000000958,5HFİTQXmUABX,0000063543,0.13,01.10.2025,07:19
F9cRGizpb3PQ.jpeg,ARAZ,,1001994141-17013,ARAZ,1001994141,1075523,Qadir Ebiyev,29.06.2025,17:36:15,TENDİR COREYİ EDED,1.0,0.69,0.69,6.50,,,6.50,0.00,0.00,0.00,0.00,77,Az Smart Fiscal Box,AFB0000000958,FƏcRGizpb3PQ,0000063543,0.16,29.07.2025,17:45
F9cRGizpb3PQ.jpeg,ARAZ,,1001994141-17013,ARAZ,1001994141,1075523,Qadir Ebiyev,29.06.2025,17:36:15,ƏDV-dən azad МИЈА DOND. STEKAN P (ədəd),1.0,0.8,0.8,6.50,,,6.50,0.00,0.00,0.00,0.00,77,Az Smart Fiscal Box,AFB0000000958,FƏcRGizpb3PQ,0000063543,0.16,29.07.2025,17:45
F9cRGizpb3PQ.jpeg,ARAZ,,1001994141-17013,ARAZ,1001994141,1075523,Qadir Ebiyev,29.06.2025,17:36:15,", SM ROMASKA 25 180 GR (ədəd)",1.0,2.99,2.99,6.50,,,6.50,0.00,0.00,0.00,0.00,77,Az Smart Fiscal Box,AFB0000000958,FƏcRGizpb3PQ,0000063543,0.16,29.07.2025,17:45
F9cRGizpb3PQ.jpeg,ARAZ,,1001994141-17013,ARAZ,1001994141,1075523,Qadir Ebiyev,29.06.2025,17:36:15,3 INEK PENDİR 20065£1 (ədəd),1.0,199.0,199.0,6.50,,,6.50,0.00,0.00,0.00,0.00,77,Az Smart Fiscal Box,AFB0000000958,FƏcRGizpb3PQ,0000063543,0.16,29.07.2025,17:45
F9cRGizpb3PQ.jpeg,ARAZ,,1001994141-17013,ARAZ,1001994141,1075523,Qadir Ebiyev,29.06.2025,17:36:15,Paket Spar 27:50 3K (ədəd),1.0,0.03,0.03,6.50,,,6.50,0.00,0.00,0.00,0.00,77,Az Smart Fiscal Box,AFB0000000958,FƏcRGizpb3PQ,0000063543,0.16,29.07.2025,17:45
